country,Year,GDP.per.capita.PPP.current.international,polity2
Antigua and Barbuda,2000,12345.81711,NA
Antigua and Barbuda,2001,12654.91593,NA
Antigua and Barbuda,2002,12959.93008,NA
Antigua and Barbuda,2003,13699.03753,NA
Antigua and Barbuda,2004,14866.37108,NA
Antigua and Barbuda,2005,15791.64295,NA
Antigua and Barbuda,2006,18234.8027,NA
Antigua and Barbuda,2007,20324.14267,NA
Antigua and Barbuda,2008,20565.85954,NA
Antigua and Barbuda,2009,18778.49063,NA
Antigua and Barbuda,2010,NA,NA
Afghanistan,2000,NA,-7
Afghanistan,2001,NA,NA
Afghanistan,2002,578.8884948,NA
Afghanistan,2003,659.2476674,NA
Afghanistan,2004,723.4946146,NA
Afghanistan,2005,834.8776273,NA
Afghanistan,2006,933.3307896,NA
Afghanistan,2007,937.8866106,NA
Afghanistan,2008,955.0275931,NA
Afghanistan,2009,1321.323797,NA
Afghanistan,2010,NA,NA
Albania,2000,4259.30791,5
Albania,2001,4658.009188,5
Albania,2002,4860.034621,7
Albania,2003,5230.006539,7
Albania,2004,5673.623382,7
Albania,2005,6161.607781,9
Albania,2006,6878.015825,9
Albania,2007,7363.602919,9
Albania,2008,8414.646766,9
Albania,2009,8716.006729,9
Albania,2010,NA,NA
Algeria,2000,5395.332006,-3
Algeria,2001,5579.134438,-3
Algeria,2002,5849.358687,-3
Algeria,2003,6293.317735,-3
Algeria,2004,6707.121276,2
Algeria,2005,7175.964274,2
Algeria,2006,7444.943065,2
Algeria,2007,7812.37081,2
Algeria,2008,8052.215214,2
Algeria,2009,8172.475217,2
Algeria,2010,NA,NA
Andorra,2000,NA,NA
Andorra,2001,NA,NA
Andorra,2002,NA,NA
Andorra,2003,NA,NA
Andorra,2004,NA,NA
Andorra,2005,NA,NA
Andorra,2006,NA,NA
Andorra,2007,NA,NA
Andorra,2008,NA,NA
Andorra,2009,NA,NA
Andorra,2010,NA,NA
Angola,2000,2277.126836,-3
Angola,2001,2332.520557,-3
Angola,2002,2631.637771,-2
Angola,2003,2691.60024,-2
Angola,2004,2984.2298,-2
Angola,2005,3611.492632,-2
Angola,2006,4299.187623,-2
Angola,2007,5206.427427,-2
Angola,2008,5873.047312,-2
Angola,2009,5812.021995,-2
Angola,2010,NA,NA
