date,civ_labor_force,unemployed_27over,unemployed,unemployment_rate
1948-01-01,60095.00,128.00,2034.00,3.40
1948-02-01,60524.00,121.00,2328.00,3.80
1948-03-01,60070.00,110.00,2399.00,4.00
1948-04-01,60677.00,109.00,2386.00,3.90
1948-05-01,59972.00,109.00,2118.00,3.50
1948-06-01,60957.00,118.00,2214.00,3.60
1948-07-01,61181.00,107.00,2213.00,3.60
1948-08-01,60806.00,128.00,2350.00,3.90
1948-09-01,60815.00,127.00,2302.00,3.80
1948-10-01,60646.00,136.00,2259.00,3.70
1948-11-01,60702.00,95.00,2285.00,3.80
1948-12-01,61169.00,99.00,2429.00,4.00
1949-01-01,60771.00,104.00,2596.00,4.30
1949-02-01,61057.00,130.00,2849.00,4.70
1949-03-01,61073.00,116.00,3030.00,5.00
1949-04-01,61007.00,158.00,3260.00,5.30
1949-05-01,61259.00,192.00,3707.00,6.10
1949-06-01,60948.00,250.00,3776.00,6.20
1949-07-01,61301.00,309.00,4111.00,6.70
1949-08-01,61590.00,339.00,4193.00,6.80
1949-09-01,61633.00,355.00,4049.00,6.60
1949-10-01,62185.00,368.00,4916.00,7.90
1949-11-01,62005.00,430.00,3996.00,6.40
1949-12-01,61908.00,409.00,4063.00,6.60
1950-01-01,61661.00,398.00,4026.00,6.50
1950-02-01,61687.00,406.00,3936.00,6.40
1950-03-01,61604.00,422.00,3876.00,6.30
1950-04-01,62158.00,470.00,3575.00,5.80
1950-05-01,62083.00,415.00,3434.00,5.50
1950-06-01,62419.00,423.00,3367.00,5.40
1950-07-01,62121.00,338.00,3120.00,5.00
1950-08-01,62596.00,298.00,2799.00,4.50
1950-09-01,62349.00,298.00,2774.00,4.40
1950-10-01,62428.00,279.00,2625.00,4.20
1950-11-01,62286.00,260.00,2589.00,4.20
1950-12-01,62068.00,217.00,2639.00,4.30
1951-01-01,61941.00,179.00,2305.00,3.70
1951-02-01,61778.00,198.00,2117.00,3.40
1951-03-01,62526.00,153.00,2125.00,3.40
1951-04-01,61808.00,140.00,1919.00,3.10
1951-05-01,62044.00,130.00,1856.00,3.00
1951-06-01,61615.00,115.00,1995.00,3.20
1951-07-01,62106.00,127.00,1950.00,3.10
1951-08-01,61927.00,117.00,1933.00,3.10
1951-09-01,61780.00,118.00,2067.00,3.30
1951-10-01,62204.00,99.00,2194.00,3.50
1951-11-01,62014.00,155.00,2178.00,3.50
1951-12-01,62457.00,103.00,1960.00,3.10
1952-01-01,62432.00,104.00,1972.00,3.20
1952-02-01,62419.00,88.00,1957.00,3.10
1952-03-01,61721.00,87.00,1813.00,2.90
