date,spot_price_fob
Jan-86,22.93
Feb-86,15.45
Mar-86,12.61
Apr-86,12.84
May-86,15.38
Jun-86,13.43
Jul-86,11.58
Aug-86,15.1
Sep-86,14.87
Oct-86,14.9
Nov-86,15.22
Dec-86,16.11
Jan-87,18.65
Feb-87,17.75
Mar-87,18.3
Apr-87,18.68
May-87,19.44
Jun-87,20.07
Jul-87,21.34
Aug-87,20.31
Sep-87,19.53
Oct-87,19.86
Nov-87,18.85
Dec-87,17.27
Jan-88,17.13
Feb-88,16.8
Mar-88,16.2
Apr-88,17.86
May-88,17.42
Jun-88,16.53
Jul-88,15.5
Aug-88,15.52
Sep-88,14.54
Oct-88,13.77
Nov-88,14.14
Dec-88,16.38
Jan-89,18.02
Feb-89,17.94
Mar-89,19.48
Apr-89,21.07
May-89,20.12
Jun-89,20.05
Jul-89,19.78
Aug-89,18.58
Sep-89,19.59
Oct-89,20.1
Nov-89,19.86
Dec-89,21.1
Jan-90,22.86
Feb-90,22.11
Mar-90,20.39
Apr-90,18.43
May-90,18.2
Jun-90,16.7
Jul-90,18.45
Aug-90,27.31
Sep-90,33.51
Oct-90,36.04
Nov-90,32.33
Dec-90,27.28
Jan-91,25.23
Feb-91,20.48
Mar-91,19.9
Apr-91,20.83
May-91,21.23
Jun-91,20.19
Jul-91,21.4
Aug-91,21.69
Sep-91,21.89
Oct-91,23.23
Nov-91,22.46
Dec-91,19.5
Jan-92,18.79
Feb-92,19.01
Mar-92,18.92
Apr-92,20.23
May-92,20.98
Jun-92,22.38
Jul-92,21.78
Aug-92,21.34
Sep-92,21.88
Oct-92,21.69
Nov-92,20.34
Dec-92,19.41
Jan-93,19.03
Feb-93,20.09
Mar-93,20.32
Apr-93,20.25
May-93,19.95
Jun-93,19.09
Jul-93,17.89
Aug-93,18.01
Sep-93,17.5
Oct-93,18.15
Nov-93,16.61
Dec-93,14.51
Jan-94,15.03
Feb-94,14.78
Mar-94,14.68
Apr-94,16.42
May-94,17.89
Jun-94,19.06
Jul-94,19.65
Aug-94,18.38
Sep-94,17.45
Oct-94,17.72
Nov-94,18.07
Dec-94,17.16
Jan-95,18.04
Feb-95,18.57
Mar-95,18.54
Apr-95,19.9
May-95,19.74
Jun-95,18.45
Jul-95,17.33
Aug-95,18.02
Sep-95,18.23
Oct-95,17.43
Nov-95,17.99
Dec-95,19.03
Jan-96,18.85
Feb-96,19.09
Mar-96,21.33
Apr-96,23.5
May-96,21.17
Jun-96,20.42
Jul-96,21.3
Aug-96,21.9
Sep-96,23.97
Oct-96,24.88
Nov-96,23.71
Dec-96,25.23
Jan-97,25.13
Feb-97,22.18
Mar-97,20.97
Apr-97,19.7
May-97,20.82
Jun-97,19.26
Jul-97,19.66
Aug-97,19.95
Sep-97,19.8
Oct-97,21.33
Nov-97,20.19
Dec-97,18.33
Jan-98,16.72
Feb-98,16.06
Mar-98,15.12
Apr-98,15.35
May-98,14.91
Jun-98,13.72
Jul-98,14.17
Aug-98,13.47
Sep-98,15.03
Oct-98,14.46
Nov-98,13
Dec-98,11.35
Jan-99,12.51
Feb-99,12.01
Mar-99,14.68
Apr-99,17.31
May-99,17.72
Jun-99,17.92
Jul-99,20.1
Aug-99,21.28
Sep-99,23.8
Oct-99,22.69
Nov-99,25
Dec-99,26.1
Jan-00,27.26
Feb-00,29.37
Mar-00,29.84
Apr-00,25.72
May-00,28.79
Jun-00,31.82
Jul-00,29.7
Aug-00,31.26
Sep-00,33.88
Oct-00,33.11
Nov-00,34.42
Dec-00,28.44
1-Jan,29.59
1-Feb,29.61
1-Mar,27.24
1-Apr,27.49
1-May,28.63
1-Jun,27.6
1-Jul,26.42
1-Aug,27.37
1-Sep,26.2
1-Oct,22.17
1-Nov,19.64
1-Dec,19.39
2-Jan,19.71
2-Feb,20.72
2-Mar,24.53
2-Apr,26.18
2-May,27.04
2-Jun,25.52
2-Jul,26.97
2-Aug,28.39
2-Sep,29.66
2-Oct,28.84
2-Nov,26.35
2-Dec,29.46
3-Jan,32.95
3-Feb,35.83
3-Mar,33.51
3-Apr,28.17
3-May,28.11
3-Jun,30.66
3-Jul,30.75
3-Aug,31.57
3-Sep,28.31
3-Oct,30.34
3-Nov,31.11
3-Dec,32.13
4-Jan,34.31
4-Feb,34.68
4-Mar,36.74
4-Apr,36.75
4-May,40.28
4-Jun,38.03
4-Jul,40.78
4-Aug,44.9
4-Sep,45.94
4-Oct,53.28
4-Nov,48.47
4-Dec,43.15
5-Jan,46.84
5-Feb,48.15
5-Mar,54.19
5-Apr,52.98
5-May,49.83
5-Jun,56.35
5-Jul,59
5-Aug,64.99
5-Sep,65.59
5-Oct,62.26
5-Nov,58.32
5-Dec,59.41
6-Jan,65.49
6-Feb,61.63
6-Mar,62.69
6-Apr,69.44
6-May,70.84
6-Jun,70.95
6-Jul,74.41
6-Aug,73.04
6-Sep,63.8
6-Oct,58.89
6-Nov,59.08
6-Dec,61.96
7-Jan,54.51
7-Feb,59.28
7-Mar,60.44
7-Apr,63.98
7-May,63.45
7-Jun,67.49
7-Jul,74.12
7-Aug,72.36
7-Sep,79.91
7-Oct,85.8
7-Nov,94.77
7-Dec,91.69
8-Jan,92.97
8-Feb,95.39
8-Mar,105.45
8-Apr,112.58
8-May,125.4
8-Jun,133.88
8-Jul,133.37
8-Aug,116.67
8-Sep,104.11
