State,Statename,FIPS,Year,DemPres,DemGov,Midterm,Unemployment,NewPres,NewCong,NewGov,NewHouse,DemHouseShare,RepHouseShare,DemSenateShare,RepSenateShare,Midwest,West,Northeast,South,GovCycle,HouseTerm,LegCycle,unemDeviation,PresUnem,GovUnem,PartisanMidterm,GovCoattails,PresCoattails
AL,Alabama,1,1979,1,1,1,6.8,0,1,1,1,0.961904762,0.038095238,1,0,0,0,0,1,1,4,1,0.831495228,-0.068504772,-0.068504772,1,0,0
AL,Alabama,1,1983,0,1,1,12.8,0,1,1,1,0.923809524,0.076190476,0.914285714,0.085714286,0,0,0,1,1,4,1,6.831495228,-7.231495228,7.231495228,-1,0,0
AL,Alabama,1,1987,0,0,1,7.6,0,1,1,1,0.847619048,0.152380952,0.857142857,0.142857143,0,0,0,1,1,4,1,1.631495228,-3.131495228,3.131495228,-1,-1,0
AL,Alabama,1,1991,0,0,1,6.9,0,1,1,1,0.79047619,0.20952381,0.8,0.2,0,0,0,1,1,4,1,0.931495228,-0.331495228,-0.331495228,-1,0,0
AL,Alabama,1,1995,1,0,1,5.2,0,1,1,1,0.704761905,0.295238095,0.657142857,0.342857143,0,0,0,1,1,4,1,-0.768504772,-0.568504772,-0.568504772,1,-1,0
AL,Alabama,1,1999,1,1,1,4.3,0,1,1,1,0.676190476,0.323809524,0.628571429,0.371428571,0,0,0,1,1,4,1,-1.668504772,-2.068504772,2.068504772,1,1,0
AL,Alabama,1,2003,0,0,1,5.4,0,1,1,1,0.6,0.4,0.714285714,0.285714286,0,0,0,1,1,4,1,-0.568504772,0.568504772,-0.568504772,-1,-1,0
AL,Alabama,1,2007,0,0,1,3.4,0,1,1,1,0.59047619,0.40952381,0.657142857,0.342857143,0,0,0,1,1,4,1,-2.568504772,2.468504772,2.468504772,-1,0,0
AL,Alabama,1,2011,1,0,1,9,0,1,1,1,0.3714285714,0.619047619,0.3428571429,0.6285714286,0,0,0,1,1,4,1,3.031495228,3.531495228,-3.531495228,1,0,0
AL,Alabama,1,2015,1,0,1,6.1,0,1,1,1,0.3142857143,0.6857142857,0.2285714286,0.7428571429,0,0,0,1,1,4,1,0.131495228,0.831495228,-0.831495228,1,0,0
